RK,PLAYER,Team,PASS EPA,RUN EPA,SACK EPA,PEN EPA,TOTAL EPA,ACT PLAYS,RAW QBR,TOTAL QBR,Season
1,Kyler Murray, OKLA,109.6,42.5,-9.6,0.6,143.1,553,93.6,95.4,2018
2,Tua Tagovailoa, ALA,87.5,10.8,-9.7,-0.1,88.5,438,89.6,93.1,2018
3,Jake Fromm, UGA,64.3,-4.2,-10.9,1.4,50.6,374,76.9,85.1,2018
4,D'Eriq King, HOU,65.9,35.5,-9.9,4.4,96.1,504,87.6,84.8,2018
5,Dwayne Haskins, OSU,106.4,-2.7,-11.4,3.3,95.3,673,77.5,84.8,2018
6,K.J. Costello, STAN,83.4,0.8,-16.3,8.4,76.4,522,78,82.6,2018
7,Drew Lock, MIZ,63.2,11.2,-11.1,7.8,70.8,552,75.8,82,2018
8,Shea Patterson, MICH,49.3,9.4,-13.3,3.8,49,434,72.7,81.5,2018
,Trevor Lawrence, CLEM,62.4,-0.4,-6.6,0.5,55.9,486,74.2,81.5,2018
10,Will Grier, WVU,89.1,-1.1,-16.1,-0.1,71.8,485,79.1,81,2018
11,McKenzie Milton, UCF,52.3,16.8,-9.1,5.7,65.8,403,84.7,80.8,2018
12,Ian Book, ND,59.8,0.1,-8.7,0.8,51.7,444,71.6,80.1,2018
13,Zac Thomas, APP,40.9,24.7,-6.8,2,60.9,381,84.1,79.8,2018
14,Joe Burrow, LSU,51.9,18.2,-20.3,8,57.7,565,68.5,78.4,2018
15,Ryan Finley, NCST,78.4,1.3,-6.5,6.2,79.5,576,78.6,78.4,2018
16,Nathan Rourke, OHIO,38.4,35.8,-13.4,4.6,65.3,438,81,77.6,2018
17,Taylor Cornelius, OKST,81,25,-21.8,3,87,659,75.2,77.4,2018
18,Sam Ehlinger, TEX,82.6,16.3,-18.8,3.7,83.8,643,73.4,77.3,2018
19,Tyree Jackson, BUFF,60.3,19.1,-10.7,11.6,80.3,525,79.2,77.3,2018
20,Peyton Ramsey, IND,45.5,22.2,-16.9,6.6,57.8,604,66.6,76.8,2018
21,Brock Purdy, ISU,46.2,15.6,-12.9,2,51,361,76,76.7,2018
22,Gardner Minshew, WSU,92.3,5.7,-9,2.3,91.1,762,72.1,76.5,2018
23,Kelvin Hopkins Jr., ARMY,26.5,29.7,-1.6,-0.5,54.2,323,83.2,76.4,2018
24,Justin Herbert, ORE,51.9,11.5,-12.6,3.5,54.7,515,71.6,76.4,2018
25,David Blough, PUR,66.7,1.4,-16.1,5.7,57.7,583,66.8,76.1,2018
26,Brett Rypien, BSU,89.9,0.7,-18.7,-0.3,71.6,567,74.3,74.4,2018
27,Nate Stanley, IOWA,50.6,2.4,-9.4,4,47.3,467,66.6,74.2,2018
28,Kellen Mond, TA&M,52.6,11.3,-22.2,5.8,49,629,60.6,73.9,2018
29,Marcus McMaryion, FRES,67.5,14.8,-9.5,0.8,73.5,536,75.7,73.7,2018
30,Jake Browning, WASH,50.9,16.3,-16.3,0,50.8,527,66.2,73.6,2018
31,Jon Wassink, WMU,30.6,8.1,-2,3.5,40,319,77.1,73.3,2018
32,Shai Werts, GASO,20.1,34,-9.4,-0.2,44.5,320,79.2,72.9,2018
33,Jake Bentley, SC,40.9,5.6,-10.7,4.1,40.6,497,64.3,72.9,2018
34,Daniel Jones, DUKE,43.4,16.9,-18.1,1.5,43.8,520,61.9,72.3,2018
35,Kyle Shurmur, VAN,60.7,0.8,-16.9,4.6,49.2,487,66.2,71.5,2018
36,Ryan Willis, VT,33.6,13.7,-11.3,2.2,38.2,525,60.5,71.1,2018
37,Charlie Brewer, BAY,54.3,19.8,-18.5,0,55.8,569,67.7,70.8,2018
38,Manny Wilkins, ASU,46.4,10.6,-11.8,2.9,47.8,553,62.6,70.8,2018
39,Jordan Ta'amu, MISS,65.9,2.5,-17.4,1,52,575,65.1,70.6,2018
40,Wilton Speight, UCLA,24.5,6.4,-10.7,1.8,21.9,269,62.3,68.8,2018
41,James Morgan, FIU,55.5,-4.3,-8.7,4,46.9,376,74,68.8,2018
42,Alan Bowman, TTU,44.3,1.4,-5.8,4.2,44.1,388,70.6,68.1,2018
43,Jarrett Guarantano, TENN,37.6,1,-16.1,0.8,23.2,320,59.8,68,2018
44,Jordan Love, USU,55.7,3.7,-5.7,0.8,54.5,505,71.6,67.8,2018
45,Zach Wilson, BYU,31,12.9,-14.2,0.9,30.6,290,69.5,67.5,2018
46,Eric Dungey, SYR,40.9,31.4,-16.7,3.7,59.3,631,65.4,67.2,2018
47,Skylar Thompson, KSU,26.1,15.4,-13.2,2.3,30.5,333,64.6,67.2,2018
48,Feleipe Franks, FLA,26.8,12.5,-8.5,0.8,31.3,477,57,67.1,2018
49,Trace McSorley, PSU,21.7,27.3,-18.5,4.1,34.5,558,55.5,64.8,2018
50,Bryce Perkins, UVA,43.1,27.5,-17.2,1.1,54.6,600,64.4,64.6,2018
51,Jake Luton, ORST,28.2,-7.2,-9,0.7,13,273,55.1,63.9,2018
