Previous.National.Ranking,Name,Hometown,Position,Height.Weight,Rating,All Ratings,National.Ranking,Position.Ranking,State.Ranking,player.id,bball.ref.link
1,Shea Patterson," IMG Academy (Bradenton, FL)  ", PRO , 6-1.5 / 192 ,0.9982, 4 1 1 ,4,1,1,shea-patterson,https://www.sports-reference.com/cfb/players/shea-patterson-1.html
2,Jacob Eason," Lake Stevens (Lake Stevens, WA)  ", PRO , 6-5.5 / 208 ,0.9975, 5 2 1 ,5,2,1,jacob-eason,https://www.sports-reference.com/cfb/players/jacob-eason-1.html
9,KJ Costello," Santa Margarita Catholic (Rancho Santa Margarita, CA)  ", PRO , 6-4 / 213 ,0.9749, 47 3 7 ,47,3,7,kj-costello,https://www.sports-reference.com/cfb/players/kj-costello-1.html
4,Malik Henry," Long Beach Poly (Long Beach, CA)  ", PRO , 6-3 / 185 ,0.9747, 49 4 8 ,49,4,8,malik-henry,https://www.sports-reference.com/cfb/players/malik-henry-1.html
6,Feleipe Franks," Wakulla (Crawfordville, FL)  ", PRO , 6-5.5 / 210 ,0.9732, 54 5 9 ,54,5,9,feleipe-franks,https://www.sports-reference.com/cfb/players/feleipe-franks-1.html
3,Brandon Peters," Avon (Avon, IN)  ", PRO , 6-4.5 / 209 ,0.9684, 61 6 1 ,61,6,1,brandon-peters,https://www.sports-reference.com/cfb/players/brandon-peters-1.html
13,Jarrett Guarantano," Bergen Catholic (Oradell, NJ)  ", DUAL , 6-4 / 201 ,0.9628, 79 1 2 ,79,1,2,jarrett-guarantano,https://www.sports-reference.com/cfb/players/jarrett-guarantano-1.html
5,Dwayne Haskins," The Bullis School (Potomac, MD)  ", PRO , 6-3 / 198 ,0.9561, 91 7 3 ,91,7,3,dwayne-haskins,https://www.sports-reference.com/cfb/players/dwayne-haskins-1.html
11,Brandon McIlwain," Council Rock North (Newtown, PA)  ", DUAL , 6-0 / 200 ,0.9273, 175 2 6 ,175,2,6,brandon-mcilwain,https://www.sports-reference.com/cfb/players/brandon-mcilwain-1.html
19,Jack Allison," Palmetto (Palmetto, FL)  ", PRO , 6-5 / 200 ,0.9264, 176 8 28 ,176,8,28,jack-allison,https://www.sports-reference.com/cfb/players/jack-allison-1.html
